"","Order","Points","Question","CorrectAnswer","Key"
"1",1,2,"What part of the brain is necessary for long-term memory?","hippocampus","A"
"2",2,2,"What part of the brain is necessary for long-term memory?","hippocampus","D"
"3",3,2,"What part of the brain is necessary for long-term memory?","hippocampus","A"
"4",4,2,"What part of the brain is necessary for long-term memory?","hippocampus","B"
"5",5,2,"What part of the brain is necessary for long-term memory?","hippocampus","D"
"6",6,2,"What part of the brain is necessary for long-term memory?","hippocampus","A"
"7",7,2,"What part of the brain is necessary for long-term memory?","hippocampus","B"
"8",8,2,"What part of the brain is necessary for long-term memory?","hippocampus","D"
"9",9,2,"What part of the brain is necessary for long-term memory?","hippocampus","C"
"10",10,2,"What part of the brain is necessary for long-term memory?","hippocampus","C"
"11",11,2,"What part of the brain is necessary for long-term memory?","hippocampus","D"
"12",12,2,"What part of the brain is necessary for long-term memory?","hippocampus","D"
"13",13,2,"What part of the brain is necessary for long-term memory?","hippocampus","B"
"14",14,2,"What part of the brain is necessary for long-term memory?","hippocampus","A"
"15",15,4,"Name the lobes of the brain.","frontal, temporal, occipital, parietal","frontal, temporal, occipital, parietal"
"16",16,2,"What part of the brain is necessary for long-term memory?","hippocampus","B"
"17",17,2,"What part of the brain is necessary for long-term memory?","hippocampus","D"
"18",18,2,"What part of the brain is necessary for long-term memory?","hippocampus","B"
"19",19,2,"What part of the brain is necessary for long-term memory?","hippocampus","A"
"20",20,2,"What part of the brain is necessary for long-term memory?","hippocampus","C"
"21",21,2,"Which of the following is not part of the brainstem?","putamen","C"
"22",22,2,"Label the brain slices.","coronal, sagittal, axial","coronal, sagittal, axial"
"23",23,6,"Write everything you know about your favorite part of the brain.","Responses will vary.","Responses will vary."
"24",24,1,"The occipital lobe is important for olfaction.","FALSE","FALSE"
